Cluster,Fichier,Manquants,Moyenne,Variance
2,1,0,0.9656179627591533,0.3973340843317844
3,1,0,0.9654909528243095,0.39705808456837494
4,1,0,0.9638979606079127,0.3988651288770799
5,1,0,0.9637539595940209,0.39716817255463077
6,1,0,0.9622948409562405,0.3974926921568491
7,1,0,0.9646627111742666,0.39552357378382147
8,1,0,0.9621596725398125,0.39624203816739
9,1,0,0.9609867535543639,0.3982397548991489
10,1,0,0.9637139959110742,0.39681214063477754
11,1,0,0.9631698932017542,0.3966067422584254
12,1,0,0.9614243889950363,0.3962859668058888
13,1,0,0.9627554075444706,0.40114855244915987
14,1,0,0.9619950780578868,0.4012598184896493
15,1,0,0.9618965753947457,0.4013668988132388
16,1,0,0.9587748968129423,0.4044174984353446
17,1,0,0.9596758445923451,0.4020303214897903
18,1,0,0.9599086324738837,0.40016079288299294
19,1,0,0.9574213474754332,0.39981404784419056
2,2,0,0.9444904953304858,0.3808962385893343
3,2,0,0.9468645767702579,0.38371440317446887
4,2,0,0.9480460853497641,0.384499361610646
5,2,0,0.9433812370724891,0.383640462590012
6,2,0,0.9440473750763524,0.3814732855673166
7,2,0,0.9437395848046862,0.3815931906839019
8,2,0,0.9395402821314887,0.38378387804621206
9,2,0,0.9429033638155061,0.3811070363242728
10,2,0,0.9408202170414101,0.38433616967348544
11,2,0,0.9383298711727499,0.3826522867513751
12,2,0,0.9381192630587276,0.383679106079182
13,2,0,0.9351422350542793,0.3853439560222479
14,2,0,0.9362337369071504,0.38341476762776266
15,2,0,0.9401993320405503,0.37975512257369026
16,2,0,0.9392365828113288,0.38137179249817565
17,2,0,0.9361982353698016,0.38149107332987386
18,2,0,0.9403211017636317,0.3793754010502228
19,2,0,0.9406658449794939,0.38109314998206134
2,3,0,0.9301804210505635,0.3715596898939027
3,3,0,0.9291751643134921,0.37270737445254887
4,3,0,0.9269723105834031,0.37403971336226993
5,3,0,0.9270877842417178,0.37288912612706954
6,3,0,0.9250491446121516,0.37304265135033926
7,3,0,0.9246415570690291,0.3731064173828967
8,3,0,0.9221977316525377,0.3756107299182609
9,3,0,0.9221315415693052,0.37384468952750516
10,3,0,0.9211599967964478,0.37586870988040433
11,3,0,0.9203884942112991,0.37582745359213215
12,3,0,0.9238323665056616,0.3745424930797751
13,3,0,0.9210308511130306,0.37366469315880746
14,3,0,0.9219712127151722,0.3747515793675286
15,3,0,0.9221172046007509,0.374843859609372
16,3,0,0.9238806782951655,0.37546988385664964
17,3,0,0.9212538687244233,0.37508479334144146
18,3,0,0.9187521885426346,0.3727985797003792
19,3,0,0.9176059205177944,0.37485672263616393
2,4,0,0.9351207039852172,0.3635475003562173
3,4,0,0.9324166414983938,0.3666893630978859
4,4,0,0.9346763431615717,0.3645536698571359
5,4,0,0.9323550821792993,0.36624182888141654
6,4,0,0.932476453335628,0.36761163585367956
7,4,0,0.9319896858356931,0.36825104282295806
8,4,0,0.9343414339406328,0.3650073484133939
9,4,0,0.9337713935179132,0.36499479385988415
10,4,0,0.9308430640208,0.3671873232886053
11,4,0,0.93181356682986,0.36562938616926083
12,4,0,0.9301404073534754,0.36743697806471953
13,4,0,0.9272801284121092,0.37109911570429266
14,4,0,0.9286592131180998,0.36956380238337966
15,4,0,0.9280652531216265,0.3701638220368913
16,4,0,0.9280699179792781,0.3703412186734413
17,4,0,0.9277412999045047,0.37101775258390596
18,4,0,0.9277607508886371,0.37116401175313346
19,4,0,0.9255420460451994,0.37342630879257027
2,5,0,0.9399898195245477,0.36870359155112753
3,5,0,0.9382859429844173,0.3703730065782128
4,5,0,0.9391721172332896,0.36983153799142887
5,5,0,0.938142831392524,0.37182952089553306
6,5,0,0.9331788850218693,0.3746589144696365
7,5,0,0.9325656537621461,0.3765801322846615
8,5,0,0.9325587377032701,0.3754893767528772
9,5,0,0.9326860375729933,0.37495517332294637
10,5,0,0.9316382276272456,0.3755142568644625
11,5,0,0.9274741051907167,0.376654533891292
12,5,0,0.929970619119658,0.38043594892079763
13,5,0,0.9268598631013855,0.379328394186645
14,5,0,0.9267639022244546,0.3797890364328614
15,5,0,0.9266883631620653,0.3786811692936539
16,5,0,0.926921974269801,0.37974100529995275
17,5,0,0.9259125300224658,0.37993265669390774
18,5,0,0.927552035013429,0.38249355152779174
19,5,0,0.9269689326766276,0.3797133913688966
